City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,sisimiut,66.9395,-53.6735,-10.75,68,100,9.01,Sisimiut,1669954259
157,sapa,5.1544,120.3241,28.86,68,63,1.2,Sapa,1669954261
158,dikson,73.5069,80.5464,-4.37,93,100,5.26,Dikson,1669954262
159,hobart,-42.8794,147.3294,22.93,52,75,5.66,Hobart,1669954112
160,tefe,-3.3542,-64.7114,23.66,96,98,1.15,Tefé,1669954265
161,jiaozuo,35.2397,113.2331,4.4,16,84,2.51,Jiaozuo,1669954267
162,namatanai,-3.6667,152.4333,28.49,75,100,3.21,Namatanai,1669953794
163,perelyub,51.8667,50.3667,-9.77,93,26,3.33,Perelyub,1669954270
164,klyuchi,52.2667,79.1667,-18.67,90,11,3.83,Klyuchi,1669954272
165,fairbanks,64.8378,-147.7164,-17.27,82,0,2.06,Fairbanks,1669954240
166,qaanaaq,77.484,-69.3632,-31.08,70,0,3.84,Qaanaaq,1669954274
167,new norfolk,-42.7826,147.0587,22.73,30,25,1.79,New Norfolk,1669954276
168,naples,40.8333,14.25,12.86,82,100,1.54,Naples,1669954277
169,college,64.8569,-147.8028,-17.28,82,20,2.06,College,1669954003
170,nanortalik,60.1432,-45.2371,-4.63,69,62,4.21,Nanortalik,1669954280
171,okhotsk,59.3833,143.3,-19.58,97,100,4.01,Okhotsk,1669954282
172,itarema,-2.9248,-39.9167,26.2,75,19,6.43,Itarema,1669954101
173,la paz,-16.5,-68.15,7.99,15,0,2.06,La Paz,1669954285
174,oranjestad,12.524,-70.027,26.06,84,1,1.34,Oranjestad,1669954286
175,dongsheng,39.8161,109.9776,-5.33,27,69,8.86,Dongsheng,1669954290
176,grand forks,47.9417,-97.4337,-4.15,86,75,2.06,Grand Forks,1669954291
177,berlevag,70.8578,29.0864,1.0,93,100,5.66,Berlevåg,1669954293
178,ola,59.5833,151.2833,-6.89,74,100,4.6,Ola,1669954294
179,seymchan,62.8833,152.4333,-34.51,100,92,0.22,Seymchan,1669954295
180,vanimo,-2.6741,141.3028,29.5,65,99,4.13,Vanimo,1669954297
181,barraute,48.4335,-77.6328,-11.55,96,75,1.33,Barraute,1669954298
182,aksarka,66.5606,67.7975,-18.83,94,6,4.45,Aksarka,1669954299
183,rorvik,64.8621,11.2373,0.06,74,0,4.12,Rørvik,1669954301
184,pascagoula,30.3658,-88.5561,9.03,89,0,0.0,Pascagoula,1669954302
185,yerbogachen,61.2767,108.0108,-24.47,91,100,3.29,Yerbogachën,1669954303
186,carnarvon,-24.8667,113.6333,24.73,60,1,5.77,Carnarvon,1669954305
187,velyka pysarivka,50.4259,35.485,-2.0,53,100,6.81,Velyka Pysarivka,1669954306
188,abaza,52.655,90.0928,-17.07,79,100,0.67,Abaza,1669954307
189,sorong,-0.8833,131.25,28.87,67,100,2.26,Sorong,1669954309
190,kitimat,54.0524,-128.6534,-6.55,56,100,2.1,Kitimat,1669954310
191,clinton,42.587,-82.9199,0.63,73,75,2.06,Charter Township of Clinton,1669954156
192,soyo,-6.1349,12.3689,25.57,88,100,3.93,Soyo,1669954313
193,marawi,7.9986,124.2928,27.13,67,96,3.27,Marawi,1669954314
